question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,5,"A trader mixes 80 kg of tea at Rs.15 per kg with 20 kg of tea at cost price of Rs.20 per kg. In order to earn a profit of 25%, what should be the sale price of the mixed tea?","Rs. 23.75","Rs. 22","Rs. 20","Rs. 19.20",c,"C.P. of mixture = (80×15×+20×20)/(80+20)=Rs.20\nS.P= ((100+25))/100×16=Rs.20 ",,,
,5,"Pure milk costs Rs. 3.60 per litre. A milkman adds water to 25 litres of pure milk and sells the mixture at Rs. 3 per litre. How many litres of water does he add?",2 litres,5 litres,7 litres,11 litres,b,"In mixture, (Quantity of pure milk)/(Quantity of water)=3/0.6=5/1\nSince in every 5 litres of milk, he adds 1 litre of water.\n In every 25 litres of milk, he adds 5 litres of water.",,,
,5,"A chemist has 10 litres of a solution that is 10 per cent nitric acid by volume. He wants to dilute the solution to 4 per cent strength by adding water. How many litres of water must he add?",15,20,18,25,a,"Out of 10 litre of solution, there is 1 litres of nitric acid and 9 litres of water.\nLet x litres of water be added to the solution so that the diluted solution is of 4% strength. 4% of (10 + x) = 1 p x = 15.",,,
,5,"An alloy contains copper and zinc in the ratio 5 : 3 and another alloy contains copper and tin in the ratio 8 : 5. If equal weights of both the alloys are melted together, then the weight of tin in the resulting alloy per kg will be:",26/5,5/26,7/40,40/7,b,"The first alloy does not have tin. Therefore, quantity of tin in 2 units of the resulting alloy = 5/13\nQuantity of tin in one unit of the resulting alloy = (5/13)/2=5/26"
,5,"A and B are two alloys of gold and copper prepared by mixing metals in the ratio 7 : 2 and 7 : 11 respectively. If equal quantities of the alloys are melted to form a third alloy C, then the ratio of gold and copper in alloy C will be","5 : 7","5 : 9","7 : 5","9 : 5", c, "<table><tr><td></td><td>Gold</td><td>Copper</td></tr> <tr><td>Type A</td><td>14</td><td>4</td></tr><tr><td>Type B</td><td>7</td><td>11</td></tr><tr><td>Type C</td><td>21</td><td>15</td></tr></table>\nThe ratio of the Gold and Copper in the type C alloy = 7 : 5",,,
,5,"How many litres of pure alcohol must be added to 10 litres of mixture which is 15% alcohol to make a mixture which will be 25% alcohol?",5/4 , 5/2,3/4,"4/3+", d,"By the rule of alligation,\nAlcohol concentration :\nAlcohol must be added in the ratio of 10 : 75 or 2 : 15\nQuantity of alcohol to be added in 10 litres =2/15×10= 4/3" ,,,"explanationCsat36.PNG"
,5,"300 gm of sugar solution has 40% sugar in it. How much sugar should be added to make it 50% in the solution?","40 gm","50 gm","60 gm","70 gm",c,"The existing solution has 40% sugar. And sugar is to be mixed;\nso the other solution has 100% sugar. So, by alligation method:\nThe two mixtures should be added in the ratio 5 : 1.\nTherefore, required sugar =300/5×1=60gram",,,"explanationCsat37.PNG"
,5,"In a mixture of 60 litres, the ratio of milk to water is 2 : 1. If the ratio of milk to water is to be 1 : 2, then amount of water to be further added is ___________.",20,40,60,80,c,"Apply the alligation on fracfion of milk in each mixture.\nRatio of mixture to water = 1 : 1\nTherefore, if there is 60 liture of solution, 60 litres of water should be added",,,"explanationCsat38.PNG"
,5,"In what ratio must tea at Rs. 62 per kg be mixed with tea at Rs. 72 per kg so that the mixture must be worth Rs. 64.50 per kg?","3 : 1","3 : 2","4 : 3", "5 : 3",a,"By the rule of alligation:\nRequired ratio = 750 : 250 = 3 : 1",,,"explanationCsat39.PNG"
,5,"If 50% of a 2 : 3 solution of milk and water is replaced with water, then the concentration of the solution is reduced by:","25%","33.33%","50%","75%",c, "Let the quantity of milk and water be 40 litres and 60 litres, respectively.\n(Q Ratio of milk to water = 2 : 3)\nAfter removing 50% of solution Quantity of milk = 20 litres and Quantity of water = 30 litres\nTherefore, the concentration of the solution is reduced from 40 to 20 i.e. a reduction of 50%.",,,
